Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
S Sohal (USA),2019-2019,3,2,0,23,18,11.50,29,79.31,0,0,0,1,1
A Zampa (AUS),2016-2019,27,6,4,23,9,11.50,26,88.46,0,0,0,2,0
Zulqarnain Haider (PAK),2007-2010,3,3,0,23,17,7.66,30,76.66,0,0,0,1,0
Abdur Rehman (PAK),2007-2013,8,5,3,22,7*,11.00,29,75.86,0,0,0,0,0
DNA Ankrah (Ghana),2019-2019,4,3,0,22,12,7.33,43,51.16,0,0,0,2,0
SE Aquilina (MALTA),2019-2019,4,4,0,22,14,5.50,30,73.33,0,0,0,2,0
Z Arinaitwe (UGA),2019-2019,3,3,0,22,15,7.33,26,84.61,0,0,0,3,1
TA Boult (NZ),2013-2019,27,8,3,22,8,4.40,32,68.75,0,0,1,1,0
PC de Silva (SL),2017-2017,2,2,0,22,21,11.00,22,100.0,0,0,0,1,0
AB Dinda (INDIA),2009-2012,9,2,1,22,19,22.00,24,91.66,0,0,0,1,0
PJ Ingram (NZ),2010-2010,3,3,1,22,20*,11.00,35,62.85,0,0,1,3,0
M Morkel (SA/World),2007-2017,44,8,5,22,8*,7.33,18,122.22,0,0,0,3,1
AK Muslar (Blz),2019-2019,3,3,0,22,13,7.33,27,81.48,0,0,1,1,2
DP Nannes (AUS/NL),2009-2010,17,5,3,22,12*,11.00,18,122.22,0,0,0,1,1
FL Reifer (WI),2009-2009,1,1,0,22,22,22.00,20,110.0,0,0,0,2,1
Umair Ali (UAE),2015-2015,3,3,2,22,13,22.00,18,122.22,0,0,0,2,1
Abdullah Akbarjan (Aut),2019-2019,5,1,0,21,21,21.00,17,123.52,0,0,0,3,0
Anas Khan (HKG),2014-2014,1,1,1,21,21*,-,28,75.0,0,0,0,2,0
SE Bond (NZ),2005-2010,20,8,3,21,8*,4.20,21,100.0,0,0,2,2,0
BB Chari (ZIM),2019-2019,3,3,0,21,19,7.00,31,67.74,0,0,1,4,0
MR Gillespie (NZ),2006-2008,11,6,4,21,7,10.50,29,72.41,0,0,0,0,0
L Gregory (ENG),2019-2019,5,3,0,21,15,7.00,19,110.52,0,0,1,0,2
Imam-ul-Haq (PAK),2019-2019,2,2,0,21,14,10.50,25,84.0,0,0,0,2,0
Kamran Shazad (UAE),2014-2014,3,2,0,21,21,10.50,17,123.52,0,0,1,1,2
Karweng NG (PHI),2019-2019,4,3,0,21,14,7.00,30,70.0,0,0,0,0,1
LD Madushanka (SL),2019-2019,2,2,0,21,20,10.50,26,80.76,0,0,0,1,0
C Mahoney (Peru),2019-2019,3,1,0,21,21,21.00,27,77.77,0,0,0,1,0
AF Milne (NZ),2010-2018,21,8,8,21,10*,-,23,91.3,0,0,0,1,0
Mohammad Sami (PAK),2010-2016,13,4,3,21,8,21.00,30,70.0,0,0,0,2,0
S Murari (CRC),2019-2019,3,3,1,21,16,10.50,20,105.0,0,0,0,2,0
Rony Talukdar (BDESH),2015-2015,1,1,0,21,21,21.00,22,95.45,0,0,0,0,1
Shoaib Akhtar (PAK),2006-2010,15,6,3,21,8*,7.00,16,131.25,0,0,1,2,1
SJS Smith (SCOT),2010-2012,5,4,1,21,9,7.00,40,52.5,0,0,1,1,0
SF Tiai (Samoa),2019-2019,4,3,0,21,11,7.00,22,95.45,0,0,1,2,0
E Ul Haq (NOR),2019-2019,5,5,0,21,10,4.20,36,58.33,0,0,0,2,0
Ainool Haqqiem (MAL),2019-2019,4,2,1,20,12,20.00,20,100.0,0,0,0,1,0
RL Bhudia (KENYA),2007-2007,3,3,1,20,11*,10.00,20,100.0,0,0,1,0,2
